position,TerrainSlope,lon,lat
0.774735,11.566046,48.062355,-89.78272
0.776617,11.612417,48.045994,-89.782719
0.778498,11.775675,48.029634,-89.782718
0.78038,11.939191,48.013274,-89.782717
0.782261,12.059196,47.996914,-89.782716
0.784143,12.389401,47.980554,-89.782715
0.786025,12.582118,47.964195,-89.782714
0.787906,12.677481,47.947835,-89.782713
0.789788,12.871037,47.931476,-89.782711
0.791669,12.564549,47.915117,-89.78271
0.793551,11.807818,47.898758,-89.782709
0.795432,11.183847,47.882399,-89.782708
0.797314,10.891682,47.86604,-89.782707
0.799196,10.800972,47.849682,-89.782706
0.801077,10.893066,47.833324,-89.782704
0.802959,11.261212,47.816965,-89.782703
0.80484,11.809756,47.800608,-89.782702
0.806722,12.709881,47.78425,-89.782701
0.808604,13.787838,47.767892,-89.782699
0.810485,13.967283,47.751535,-89.782698
0.812367,13.471409,47.735178,-89.782697
0.814248,13.161093,47.718821,-89.782695
0.81613,13.227754,47.702464,-89.782694
0.818012,13.43918,47.686108,-89.782693
0.819893,13.430809,47.669752,-89.782691
0.821775,13.421111,47.653395,-89.78269
0.823656,13.368195,47.63704,-89.782688
0.825538,13.299308,47.620684,-89.782687
0.82742,13.237836,47.604329,-89.782685
0.829301,13.080606,47.587973,-89.782684
0.831183,13.12412,47.571618,-89.782682
0.833064,13.097652,47.555264,-89.782681
0.834946,13.001261,47.538909,-89.782679
0.836827,13.03476,47.522555,-89.782678
0.838709,12.726131,47.506201,-89.782676
0.840591,12.497786,47.489847,-89.782675
0.842472,12.90511,47.473493,-89.782673
0.844354,13.661655,47.45714,-89.782671
0.846235,14.2601,47.440787,-89.78267
0.848117,14.267909,47.424434,-89.782668
0.849999,14.13271,47.408082,-89.782666
0.85188,14.156768,47.391729,-89.782665
0.853762,14.15663,47.375377,-89.782663
0.855643,14.274382,47.359026,-89.782661
0.857525,14.244261,47.342674,-89.782659
0.859407,14.058284,47.326323,-89.782658
0.861288,13.900829,47.309972,-89.782656
0.86317,13.996418,47.293621,-89.782654
0.865051,14.298552,47.277271,-89.782652
0.866933,14.652642,47.26092,-89.78265
0.868814,15.189405,47.24457,-89.782648
0.870696,15.744689,47.228221,-89.782647
0.872578,16.398308,47.211872,-89.782645
0.874459,16.983462,47.195522,-89.782643
0.876341,17.45354,47.179174,-89.782641
0.878222,18.026757,47.162825,-89.782639
0.880104,18.645623,47.146477,-89.782637
0.881986,19.431374,47.130129,-89.782635
0.883867,20.256016,47.113782,-89.782633
0.885749,20.746158,47.097434,-89.782631
0.88763,20.599858,47.081087,-89.782629
0.889512,19.637188,47.064741,-89.782627
0.891394,18.536151,47.048394,-89.782625
0.893275,17.867761,47.032048,-89.782623
0.895157,17.691037,47.015703,-89.782621
0.897038,18.340507,46.999357,-89.782618
0.89892,19.641776,46.983012,-89.782616
0.900802,20.951272,46.966667,-89.782614
0.902683,22.022093,46.950323,-89.782612
0.904565,22.9176,46.933979,-89.78261
0.906446,23.678588,46.917635,-89.782608
0.908328,24.191875,46.901292,-89.782605
0.910209,24.085237,46.884949,-89.782603
0.912091,23.361497,46.868606,-89.782601
0.913973,22.836167,46.852264,-89.782598
0.915854,22.79739,46.835921,-89.782596
0.917736,22.893287,46.81958,-89.782594
0.919617,22.947797,46.803238,-89.782592
0.921499,22.936022,46.786897,-89.782589
0.923381,22.135852,46.770557,-89.782587
0.925262,20.339082,46.754216,-89.782584
0.927144,19.091625,46.737876,-89.782582
0.929025,18.933945,46.721537,-89.78258
0.930907,19.138797,46.705198,-89.782577
0.932789,19.354341,46.688859,-89.782575
0.93467,19.489123,46.67252,-89.782572
0.936552,19.72922,46.656182,-89.78257
0.938433,19.952897,46.639845,-89.782567
0.940315,20.083614,46.623507,-89.782565
0.942197,20.266501,46.60717,-89.782562
0.944078,20.502739,46.590834,-89.782559
0.94596,20.580841,46.574498,-89.782557
