position,TerrainHeight,Sun Visibility 60m,Polar Winter Min Temp,lon,lat
0.922266,1317.781371,0.37276,53.895317,48.335007,-89.876136
0.92513,1317.822331,0.37276,53.895317,48.34797,-89.876046
0.927995,1317.85,0.37276,53.895317,48.360914,-89.875956
0.930859,1317.87,0.37276,53.895317,48.373839,-89.875865
0.933723,1317.93,0.37276,53.895317,48.386745,-89.875775
0.936587,1318.150854,0.355,53.895317,48.399633,-89.875685
0.939451,1318.381136,0.355,53.895317,48.412502,-89.875595
0.942315,1318.62,0.355,53.895317,48.425352,-89.875505
0.94518,1318.85,0.355,53.895317,48.438184,-89.875414
0.948044,1319.080776,0.355,53.895317,48.450997,-89.875324
0.950908,1319.322167,0.355,53.895317,48.463791,-89.875234
0.953772,1319.581718,0.355,53.895317,48.476567,-89.875144
0.956636,1319.851637,0.355,53.895317,48.489325,-89.875053
0.959501,1320.111799,0.355,53.895317,48.502064,-89.874963
0.962365,1320.34,0.355,53.895317,48.514785,-89.874873
0.965229,1320.52,0.355,53.895317,48.527487,-89.874782
0.968093,1320.641959,0.355,53.895317,48.540171,-89.874692
0.970957,1320.721643,0.355,53.895317,48.552837,-89.874602
0.973821,1320.78,0.355,53.895317,48.565485,-89.874512
0.976686,1320.83145,0.355,53.895317,48.578114,-89.874421
0.97955,1320.87,0.355,53.895317,48.590725,-89.874331
0.982414,1320.91,0.34884,53.895317,48.603318,-89.874241
0.985278,1320.94,0.34884,53.895317,48.615893,-89.87415
0.988142,1320.97,0.34884,53.895317,48.62845,-89.87406
0.991007,1321,0.34884,53.895317,48.640989,-89.87397
0.993871,1321.02,0.34884,53.895317,48.65351,-89.873879
0.996735,1321.0817,0.34884,53.895317,48.666014,-89.873789
0.999599,1321.15,0.34884,53.895317,48.678499,-89.873699
1.002463,1321.220317,0.3522,56.577457,48.690966,-89.873608
1.0025,1321.221139,0.3522,56.577457,48.691124,-89.873607
1.005364,1320.807379,0.34884,53.895317,48.678657,-89.873697
1.008228,1320.747469,0.34884,53.895317,48.666173,-89.873788
1.011092,1320.718588,0.34884,53.895317,48.653671,-89.873878
1.013956,1320.678643,0.34884,53.895317,48.641151,-89.873968
1.01682,1320.648995,0.34884,53.895317,48.628613,-89.874059
