position,TerrainSlope,lon,lat
0.470479,16.006927,43.75653,-89.69112
0.471479,15.554302,43.752262,-89.691143
0.472479,15.21437,43.747994,-89.691167
0.473479,14.933386,43.743726,-89.69119
0.474479,14.667629,43.739456,-89.691214
0.475479,14.401014,43.735186,-89.691238
0.476479,14.104235,43.730916,-89.691261
0.477479,13.83738,43.726644,-89.691285
0.478479,13.659774,43.722373,-89.691308
0.479479,13.494183,43.7181,-89.691332
0.480479,13.271675,43.713827,-89.691356
0.481479,12.991989,43.709553,-89.691379
0.482479,12.710112,43.705278,-89.691403
0.483479,12.435897,43.701003,-89.691427
0.484479,12.163962,43.696727,-89.69145
0.485479,11.885914,43.692451,-89.691474
0.486479,11.6697,43.688173,-89.691497
0.487479,11.457508,43.683896,-89.691521
0.488479,11.108803,43.679617,-89.691545
0.489479,10.768225,43.675338,-89.691568
0.490479,10.490597,43.671058,-89.691592
0.491479,10.205625,43.666778,-89.691615
0.492479,10.001445,43.662497,-89.691639
0.493479,9.790066,43.658215,-89.691663
0.494479,9.508881,43.653932,-89.691686
0.495479,9.371846,43.649649,-89.69171
0.496479,9.302818,43.645366,-89.691733
0.497479,9.171623,43.641081,-89.691757
0.498479,9.107717,43.636796,-89.69178
0.499479,9.09464,43.63251,-89.691804
0.500479,9.090277,43.628224,-89.691828
0.501479,9.090277,43.623937,-89.691851
0.502479,9.090277,43.619649,-89.691875
0.503479,9.090277,43.615361,-89.691898
0.504479,9.022869,43.611072,-89.691922
0.505479,8.904984,43.606783,-89.691946
0.506479,8.930137,43.602492,-89.691969
0.507479,9.082089,43.598201,-89.691993
0.508479,9.064784,43.59391,-89.692016
0.509479,8.99147,43.589617,-89.69204
0.510479,9.121228,43.585325,-89.692063
0.511479,9.198698,43.581031,-89.692087
0.512479,9.196614,43.576737,-89.69211
0.513479,9.138765,43.572442,-89.692134
0.514479,9.062865,43.568146,-89.692158
0.515479,9.112401,43.56385,-89.692181
0.516479,9.084934,43.559553,-89.692205
0.517479,9.08209,43.555256,-89.692228
0.518479,9.132398,43.550958,-89.692252
0.519479,9.079918,43.546659,-89.692275
0.520479,9.060765,43.542359,-89.692299
0.521479,9.09464,43.538059,-89.692322
0.522479,9.045167,43.533758,-89.692346
0.523479,8.912328,43.529457,-89.692369
0.524479,8.915752,43.525155,-89.692393
0.525479,9.037959,43.520852,-89.692417
0.526479,9.031909,43.516548,-89.69244
0.527479,8.985429,43.512244,-89.692464
0.528479,8.984877,43.50794,-89.692487
0.529479,8.982563,43.503634,-89.692511
0.530479,8.938798,43.499328,-89.692534
0.531479,8.856855,43.495021,-89.692558
0.532479,8.81632,43.490714,-89.692581
0.533479,8.773812,43.486406,-89.692605
0.534211,8.744347,43.483252,-89.692622
0.535211,9.321017,43.487482,-89.692646
0.536211,9.284462,43.491714,-89.69267
0.537211,9.412112,43.495945,-89.692694
0.538211,9.41259,43.500178,-89.692718
0.539211,9.41259,43.504411,-89.692742
0.540211,9.66993,43.508645,-89.692766
0.541211,9.760453,43.512879,-89.692789
0.542211,9.814881,43.517114,-89.692813
0.543211,9.814881,43.52135,-89.692837
0.544211,9.852039,43.525587,-89.692861
0.545211,9.942611,43.529824,-89.692885
0.546211,10.161483,43.534061,-89.692909
0.547211,10.161484,43.5383,-89.692933
0.548211,10.161484,43.542539,-89.692957
0.549211,10.417371,43.546779,-89.692981
0.550211,10.417371,43.551019,-89.693005
0.551211,10.417371,43.55526,-89.693029
0.552211,10.507852,43.559502,-89.693052
0.553211,10.561827,43.563744,-89.693076
0.554211,10.780474,43.567987,-89.6931
0.555211,10.997431,43.572231,-89.693124
0.556211,11.052326,43.576475,-89.693148
0.557211,11.143301,43.58072,-89.693172
0.558211,11.142855,43.584966,-89.693196
0.559211,11.305197,43.589212,-89.69322
0.560211,11.343107,43.593459,-89.693244
0.561211,11.431871,43.597707,-89.693267
0.562211,11.650339,43.601955,-89.693291
0.563211,11.612332,43.606204,-89.693315
0.564211,11.793016,43.610454,-89.693339
0.565211,12.008985,43.614704,-89.693363
0.566211,11.973898,43.618955,-89.693387
0.567211,12.154953,43.623207,-89.693411
0.568211,12.212003,43.627459,-89.693435
0.569211,12.147006,43.631712,-89.693458
0.570211,12.238445,43.635966,-89.693482
0.571211,12.238445,43.64022,-89.693506
0.572211,12.20704,43.644475,-89.69353
0.573211,12.147006,43.64873,-89.693554
0.574211,12.117949,43.652987,-89.693578
0.575211,12.117949,43.657244,-89.693602
0.576211,12.117949,43.661501,-89.693625
0.577211,12.117949,43.665759,-89.693649
0.578211,12.025481,43.670018,-89.693673
0.579211,11.718798,43.674278,-89.693697
0.580211,11.504348,43.678538,-89.693721
0.581211,11.534263,43.682799,-89.693745
0.582211,11.563562,43.687061,-89.693769
0.583211,11.53345,43.691323,-89.693792
0.584211,11.41072,43.695586,-89.693816
0.585211,11.104593,43.699849,-89.69384
0.586211,10.917207,43.704114,-89.693864
0.587211,10.977881,43.708379,-89.693888
0.588211,10.918946,43.712644,-89.693912
0.589211,10.732923,43.71691,-89.693935
0.590211,10.423493,43.721177,-89.693959
0.591211,10.331629,43.725445,-89.693983
0.592211,10.456856,43.729713,-89.694007
0.593211,10.491039,43.733982,-89.694031
0.594211,10.273092,43.738251,-89.694055
0.595211,9.895631,43.742522,-89.694078
0.596211,9.895419,43.746792,-89.694102
0.597211,9.928727,43.751064,-89.694126
0.598211,9.871375,43.755336,-89.69415
0.599211,9.906369,43.759609,-89.694174
0.600211,9.870628,43.763883,-89.694198
0.601211,9.927938,43.768157,-89.694221
